iter	Logloss
0	0.5830247465
1	0.5011994183
2	0.4470063745
3	0.4057306971
4	0.3756803764
5	0.356315244
6	0.3387091148
7	0.3259700322
8	0.3166703634
9	0.3082759057
10	0.3030051344
11	0.2993651895
12	0.2963750056
13	0.2933615212
14	0.2897670236
15	0.2876302956
16	0.2859890921
17	0.284655294
18	0.283608651
19	0.2825204827
20	0.2814391176
21	0.2806038787
22	0.2797821666
23	0.2789117796
24	0.2783655361
25	0.2780897817
26	0.2776118536
27	0.2772562239
28	0.2768768461
29	0.276660825
30	0.2765209725
31	0.2763890035
32	0.2762086583
33	0.2760521119
34	0.2759521195
35	0.275904076
36	0.2757174051
37	0.2755286964
38	0.2754339602
39	0.2752804389
40	0.2752538789
41	0.2750952797
42	0.2749896845
43	0.2749380908
44	0.2748893077
45	0.274758984
46	0.2747053056
47	0.2746785853
48	0.2746059916
49	0.2745683137
50	0.2745532836
51	0.2745311327
52	0.2744565925
53	0.2744421052
54	0.2743815873
55	0.2743339114
56	0.2742999922
57	0.2742372256
58	0.2742273082
59	0.2741784749
60	0.2741676433
61	0.2741529828
62	0.2741388958
63	0.2741112712
64	0.2740803186
65	0.2740663848
66	0.2740512683
67	0.2740410025
68	0.2740262995
69	0.2740156772
70	0.2739765807
71	0.273940937
72	0.2739294032
73	0.2739188639
74	0.2739049704
75	0.2738848384
76	0.2738667165
77	0.2738547875
78	0.2738429328
79	0.2738252251
80	0.2737963806
81	0.2737829523
82	0.273772741
83	0.273729624
84	0.2737161383
85	0.2737039689
86	0.2736907211
87	0.2736799756
88	0.2736713787
89	0.2736577346
90	0.2736465514
91	0.2736320421
92	0.2736173329
93	0.2736020304
94	0.2735903414
95	0.2735621924
96	0.2735494906
97	0.2735390415
98	0.2735295529
99	0.2735169637
